area_name ,Latitude,Longitude,area_catagory ,statute ,penalty,address,금연구역면적,금연구역범위상세,데이터기준일자
강남 보금자리 지구 근린공원2호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 625번지,5236.8,시설전체,2017-11-17
강남 보금자리 지구 근린공원3호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 615번지,38003.6,시설전체,2017-11-17
강남 보금자리 지구 근린공원4호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 608번지 외 1,24247.1,시설전체,2017-11-17
강남 보금자리 지구 근린공원5호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 607번지,21560.9,시설전체,2017-11-17
강남 보금자리 지구 근린공원6호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 647번지,19739.5,시설전체,2017-11-17
강남 보금자리 지구 근린공원7호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 627번지 외 1,12093,시설전체,2017-11-17
강남 보금자리 지구 수변공원1호(주제공원),37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 604번지 외 1,10399.2,시설전체,2017-11-17
강남 보금자리 지구 수변공원2호(주제공원),37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 537번지,3713.3,시설전체,2017-11-17
강남 보금자리 지구(소공원),37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 549번지,1199.2,시설전체,2017-11-17
세곡2 근린공원 1(근린공원),37.4881568,127.0855952,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 525답 일원,13954,시설전체,2017-11-17
세곡2 근린공원 2(근린공원),37.4881568,127.0855952,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 569답 일원,12026,시설전체,2017-11-17
세곡2 소공원1(소공원),37.4881568,127.0855952,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 254-3답 일원,5704,시설전체,2017-11-17
세곡2 소공원 2(소공원),37.4933789,127.0800728,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 192-4구 일원,692,시설전체,2017-11-17
세곡2 역사공원 1(주제공원),37.4880466,127.1029873,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 532답 일원,20504,시설전체,2017-11-17
세곡동 근린공원1(근린공원),37.4600486,127.1015872,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 525-1,,시설전체,2017-11-17
도곡동 426-9(로덴하우스)(근린공원),37.4861363,127.0462223,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 462-9,,시설전체,2017-11-17
역삼동 716-5(SK뷰)(근린공원),37.50246,127.0493726,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 716-5,,시설전체,2017-11-17
대모산역 자투리녹지(근린공원),37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 700외,,시설전체,2017-11-17
개포동역 사거리 자투리녹지(근린공원),37.4886855,127.0675707,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 186-19,,시설전체,2017-11-17
도곡진달래2단지,37.4939742,127.0471811,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 539-6,897,시설전체,2017-11-17
선정릉공원,37.5073294,127.0471528,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 131-11번지,242272,시설전체,2017-11-17
논현까치공원,37.5084738,127.0250833,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 162-11,957,시설전체,2017-11-17
논현목련공원,37.5108353,127.0266972,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 137-18,986,시설전체,2017-11-17
논현은행나무공원,37.5126012,127.0224235,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 47-13,1015,시설전체,2017-11-17
논현개나리공원,37.5111874,127.0300758,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 150-5,1653,시설전체,2017-11-17
논현무궁화공원,37.5066323,127.0306901,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 205-7,1880,시설전체,2017-11-17
논현소나무공원,37.5156684,127.0374588,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 239,1820,시설전체,2017-11-17
학동공원,37.5116297,127.0387639,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 263-23,1499,시설전체,2017-11-17
신사은행나무공원,37.5205448,127.0260258,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 신사동 558,1240,시설전체,2017-11-17
신사목련공원,37.5228822,127.025819,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 신사동 567-37,1001,시설전체,2017-11-17
신사무궁화공원,37.5241146,127.0319245,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 신사동 625-5,1642,시설전체,2017-11-17
